"Total calls:","3759"
"Total drops:","0"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","0.00"
"Desired sale rate:","0.00 %"
"Actual sale rate:","26.07"
"Average call duration:","59.55 seconds"
"Erlangs:","0.0935"
"Estimated agents fielding calls:","N/A"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-01-04 10am","1","0","0:01:33","0:01:33","0:00:00","0.0000","0.0258","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 11am","3","1","0:02:46","0:00:55","0:00:00","0.0000","0.0458","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 12pm","2","0","0:00:59","0:00:30","0:00:00","0.0000","0.0167","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 01pm","2","1","0:02:04","0:01:02","0:00:00","0.0000","0.0344","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 02pm","3","0","0:01:14","0:00:25","0:00:00","0.0000","0.0208","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 03pm","5","2","0:05:25","0:01:05","0:00:00","0.0000","0.0903","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 04pm","4","2","0:01:57","0:00:29","0:00:00","0.0000","0.0322","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 05pm","1","1","0:01:52","0:01:52","0:00:00","0.0000","0.0311","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 06pm","5","1","0:03:54","0:00:47","0:00:00","0.0000","0.0653","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 07pm","9","2","0:05:03","0:00:34","0:00:00","0.0000","0.0850","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 08pm","8","2","0:12:39","0:01:35","0:00:00","0.0000","0.2111","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 09pm","2","0","0:01:12","0:00:36","0:00:00","0.0000","0.0200","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-04 10pm","6","1","0:04:24","0:00:44","0:00:00","0.0000","0.0733","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 11am","5","1","0:02:48","0:00:34","0:00:00","0.0000","0.0472","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 12pm","6","3","0:05:16","0:00:53","0:00:00","0.0000","0.0883","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 01pm","6","4","0:05:37","0:00:56","0:00:00","0.0000","0.0933","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 02pm","3","0","0:03:11","0:01:04","0:00:00","0.0000","0.0533","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 03pm","9","3","0:12:59","0:01:27","0:00:00","0.0000","0.2175","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 04pm","7","2","0:08:46","0:01:15","0:00:00","0.0000","0.1458","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 05pm","5","2","0:07:57","0:01:35","0:00:00","0.0000","0.1319","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 06pm","3","1","0:02:11","0:00:44","0:00:00","0.0000","0.0367","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 07pm","7","1","0:03:46","0:00:32","0:00:00","0.0000","0.0622","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 08pm","11","0","0:08:14","0:00:45","0:00:00","0.0000","0.1375","1","1","11.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 09pm","4","2","0:02:53","0:00:43","0:00:00","0.0000","0.0478","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-05 10pm","2","1","0:02:17","0:01:09","0:00:00","0.0000","0.0383","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 11am","2","1","0:01:13","0:00:37","0:00:00","0.0000","0.0206","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 12pm","5","1","0:06:31","0:01:18","0:00:00","0.0000","0.1083","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 01pm","1","0","0:00:45","0:00:45","0:00:00","0.0000","0.0125","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 03pm","2","0","0:00:54","0:00:27","0:00:00","0.0000","0.0150","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 04pm","2","0","0:00:48","0:00:24","0:00:00","0.0000","0.0133","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 05pm","2","0","0:00:56","0:00:28","0:00:00","0.0000","0.0156","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 06pm","5","5","0:07:18","0:01:28","0:00:00","0.0000","0.1222","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 07pm","11","4","0:09:39","0:00:53","0:00:00","0.0000","0.1619","1","1","11.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 08pm","9","4","0:08:30","0:00:57","0:00:00","0.0000","0.1425","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-06 09pm","4","3","0:07:35","0:01:54","0:00:00","0.0000","0.1267","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 07am","1","0","0:00:21","0:00:21","0:00:00","0.0000","0.0058","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 12pm","1","1","0:01:05","0:01:05","0:00:00","0.0000","0.0181","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 02pm","2","1","0:03:38","0:01:49","0:00:00","0.0000","0.0606","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 03pm","1","1","0:00:35","0:00:35","0:00:00","0.0000","0.0097","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 05pm","6","1","0:03:32","0:00:35","0:00:00","0.0000","0.0583","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 06pm","1","1","0:01:28","0:01:28","0:00:00","0.0000","0.0244","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 07pm","10","5","0:11:30","0:01:09","0:00:00","0.0000","0.1917","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 08pm","14","2","0:08:55","0:00:38","0:00:00","0.0000","0.1478","1","1","14.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-07 09pm","2","1","0:00:38","0:00:19","0:00:00","0.0000","0.0106","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 10am","1","0","0:00:00","0:00:00","0:00:00","0.0000","0.0000","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 11am","4","0","0:00:10","0:00:03","0:00:00","0.0000","0.0033","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 01pm","3","1","0:02:27","0:00:49","0:00:00","0.0000","0.0408","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 02pm","8","3","0:07:03","0:00:53","0:00:00","0.0000","0.1178","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 03pm","4","2","0:08:30","0:02:08","0:00:00","0.0000","0.1422","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 04pm","10","3","0:09:37","0:00:58","0:00:00","0.0000","0.1611","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 05pm","5","0","0:01:39","0:00:20","0:00:00","0.0000","0.0278","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 06pm","12","3","0:11:48","0:00:59","0:00:00","0.0000","0.1967","1","1","12.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 07pm","9","4","0:06:54","0:00:46","0:00:00","0.0000","0.1150","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 08pm","14","5","0:15:18","0:01:06","0:00:00","0.0000","0.2567","1","1","14.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 09pm","17","2","0:10:40","0:00:38","0:00:00","0.0000","0.1794","1","1","17.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-08 10pm","8","1","0:06:48","0:00:51","0:00:00","0.0000","0.1133","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 10am","3","0","0:00:43","0:00:14","0:00:00","0.0000","0.0117","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 11am","2","1","0:01:54","0:00:57","0:00:00","0.0000","0.0317","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 12pm","1","0","0:01:29","0:01:29","0:00:00","0.0000","0.0247","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 01pm","3","0","0:01:40","0:00:33","0:00:00","0.0000","0.0275","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 02pm","3","2","0:01:21","0:00:27","0:00:00","0.0000","0.0225","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 03pm","7","1","0:04:01","0:00:34","0:00:00","0.0000","0.0661","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 04pm","2","0","0:01:02","0:00:31","0:00:00","0.0000","0.0172","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 05pm","1","0","0:00:13","0:00:13","0:00:00","0.0000","0.0036","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 06pm","9","2","0:05:09","0:00:34","0:00:00","0.0000","0.0850","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 07pm","10","5","0:08:30","0:00:51","0:00:00","0.0000","0.1417","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 08pm","6","1","0:04:40","0:00:47","0:00:00","0.0000","0.0783","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-09 09pm","1","0","0:00:10","0:00:10","0:00:00","0.0000","0.0028","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 08am","1","0","0:00:07","0:00:07","0:00:00","0.0000","0.0019","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 10am","1","1","0:01:12","0:01:12","0:00:00","0.0000","0.0200","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 11am","1","0","0:00:17","0:00:17","0:00:00","0.0000","0.0047","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 12pm","1","0","0:00:31","0:00:31","0:00:00","0.0000","0.0086","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 01pm","5","3","0:03:29","0:00:42","0:00:00","0.0000","0.0583","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 02pm","6","1","0:08:47","0:01:28","0:00:00","0.0000","0.1467","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 03pm","3","0","0:03:21","0:01:07","0:00:00","0.0000","0.0558","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 06pm","2","0","0:00:31","0:00:16","0:00:00","0.0000","0.0089","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 07pm","7","1","0:08:01","0:01:09","0:00:00","0.0000","0.1342","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 08pm","5","3","0:07:10","0:01:26","0:00:00","0.0000","0.1194","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 09pm","6","1","0:05:38","0:00:56","0:00:00","0.0000","0.0933","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-10 10pm","1","1","0:02:08","0:02:08","0:00:00","0.0000","0.0356","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 09am","1","1","0:01:13","0:01:13","0:00:00","0.0000","0.0203","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 10am","2","2","0:03:37","0:01:49","0:00:00","0.0000","0.0606","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 11am","3","1","0:08:21","0:02:47","0:00:00","0.0000","0.1392","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 12pm","1","0","0:00:40","0:00:40","0:00:00","0.0000","0.0111","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 01pm","5","2","0:05:35","0:01:07","0:00:00","0.0000","0.0931","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 02pm","2","2","0:02:25","0:01:13","0:00:00","0.0000","0.0406","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 03pm","5","0","0:00:47","0:00:09","0:00:00","0.0000","0.0125","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 04pm","5","1","0:02:02","0:00:24","0:00:00","0.0000","0.0333","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 05pm","1","0","0:00:32","0:00:32","0:00:00","0.0000","0.0089","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 06pm","3","0","0:02:01","0:00:40","0:00:00","0.0000","0.0333","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 07pm","10","4","0:12:01","0:01:12","0:00:00","0.0000","0.2000","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 08pm","10","2","0:06:41","0:00:40","0:00:00","0.0000","0.1111","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 09pm","6","0","0:07:20","0:01:13","0:00:00","0.0000","0.1217","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-11 10pm","1","0","0:00:08","0:00:08","0:00:00","0.0000","0.0022","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 07am","1","1","0:00:53","0:00:53","0:00:00","0.0000","0.0147","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 08am","1","1","0:00:44","0:00:44","0:00:00","0.0000","0.0122","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 10am","1","0","0:00:11","0:00:11","0:00:00","0.0000","0.0031","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
