"Total calls:","173040"
"Total drops:","9668"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","5.59"
"Desired sale rate:","0.00 %"
"Actual sale rate:","1.49"
"Average call duration:","13.99 seconds"
"Erlangs:","1.7555"
"Estimated agents fielding calls:","5"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-02-03 05pm","475","1","1:56:32","0:00:15","0:03:23","0.0863","1.9792","1","5","95.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 06pm","220","1","0:41:04","0:00:11","0:02:45","0.1500","0.6722","1","2","110.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 07pm","189","7","0:42:05","0:00:13","0:01:25","0.0899","0.6825","1","3","63.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 08pm","236","10","1:10:04","0:00:18","0:01:35","0.0508","1.1800","1","4","59.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 09pm","73","4","0:26:23","0:00:22","0:00:55","0.1507","0.4461","1","2","36.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 08am","163","2","0:40:07","0:00:15","0:00:40","0.0491","0.6792","1","3","54.33","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 09am","804","12","3:01:23","0:00:14","0:05:12","0.0771","3.1267","1","6","134.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 10am","905","13","4:08:30","0:00:16","0:04:55","0.0652","4.0222","1","7","129.29","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 11am","689","13","3:27:07","0:00:18","0:03:13","0.0566","3.4450","1","7","98.43","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 12pm","219","7","1:24:34","0:00:23","0:03:34","0.1963","1.3992","1","3","73.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 01pm","355","4","1:28:04","0:00:15","0:01:36","0.0563","1.4792","1","4","88.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 02pm","323","7","1:41:54","0:00:19","0:01:45","0.0650","1.7047","1","5","64.60","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 03pm","534","8","2:40:20","0:00:18","0:03:40","0.0824","2.6700","1","6","89.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 04pm","792","6","2:49:30","0:00:13","0:03:38","0.0556","2.8600","1","6","132.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 05pm","530","4","1:43:33","0:00:12","0:03:36","0.0830","1.7667","1","4","132.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 06pm","223","3","0:50:21","0:00:14","0:03:07","0.1749","0.8672","1","2","111.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 07pm","174","2","0:29:20","0:00:10","0:01:20","0.0920","0.4833","1","2","87.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 08pm","180","3","0:29:38","0:00:10","0:01:23","0.0833","0.5000","1","2","90.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-04 09pm","54","0","0:04:55","0:00:05","0:00:30","0.1111","0.0750","1","1","54.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 07am","4","0","0:02:03","0:00:31","0:00:00","0.0000","0.0344","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 08am","4","0","0:00:55","0:00:14","0:00:00","0.0000","0.0156","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 09am","680","12","3:26:34","0:00:18","0:03:00","0.0529","3.4000","1","7","97.14","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 10am","820","10","4:26:45","0:00:20","0:03:18","0.0427","4.5556","1","9","91.11","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 11am","959","12","4:07:55","0:00:16","0:05:15","0.0386","4.2622","1","9","106.56","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 12pm","639","7","2:38:27","0:00:15","0:03:36","0.0689","2.6625","1","6","106.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 01pm","478","8","2:05:16","0:00:16","0:01:34","0.0397","2.1244","1","6","79.67","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 02pm","1103","16","4:26:43","0:00:15","0:02:16","0.0218","4.5958","1","10","110.30","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 03pm","752","10","4:08:10","0:00:20","0:03:27","0.0545","4.1778","1","8","94.00","$0.00","$0.00","$0.00","$0.00","$0.00"
